ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600387.SH,20241016,2.71,2.75,2.7,2.74,2.72,0.02,0.7353,32813.01,8956.299
600387.SH,20241015,2.73,2.74,2.69,2.72,2.75,-0.03,-1.0909,39983.02,10856.432
600387.SH,20241014,2.74,2.77,2.7,2.75,2.73,0.02,0.7326,44757.31,12226.233
600387.SH,20241011,2.77,2.83,2.72,2.73,2.77,-0.04,-1.444,66305.07,18394.281
600387.SH,20241010,2.86,2.86,2.73,2.77,2.86,-0.09,-3.1469,74896.0,20874.352
600387.SH,20241009,3.0,3.0,2.86,2.86,3.01,-0.15,-4.9834,76376.66,22024.181
600387.SH,20241008,3.1,3.1,2.95,3.01,2.95,0.06,2.0339,165689.68,50281.705
600387.SH,20240930,2.89,2.95,2.82,2.95,2.81,0.14,4.9822,173241.81,50349.058
600387.SH,20240927,2.78,2.83,2.72,2.81,2.75,0.06,2.1818,67962.71,18845.865
600387.SH,20240926,2.64,2.75,2.64,2.75,2.67,0.08,2.9963,59094.46,16064.918
600387.SH,20240925,2.61,2.7,2.6,2.67,2.58,0.09,3.4884,59045.02,15714.579
600387.SH,20240924,2.56,2.62,2.55,2.58,2.56,0.02,0.7813,28241.0,7294.851
600387.SH,20240923,2.6,2.6,2.54,2.56,2.58,-0.02,-0.7752,10850.0,2793.209
600387.SH,20240920,2.63,2.63,2.56,2.58,2.6,-0.02,-0.7692,20138.0,5216.693
600387.SH,20240919,2.51,2.6,2.5,2.6,2.48,0.12,4.8387,30437.26,7865.58
600387.SH,20240918,2.58,2.58,2.45,2.48,2.57,-0.09,-3.5019,26661.3,6687.532
600387.SH,20240913,2.63,2.63,2.52,2.57,2.63,-0.06,-2.2814,21478.26,5559.641
600387.SH,20240912,2.57,2.67,2.57,2.63,2.58,0.05,1.938,23913.65,6253.025
600387.SH,20240911,2.59,2.63,2.57,2.58,2.6,-0.02,-0.7692,18673.0,4847.406
600387.SH,20240910,2.57,2.64,2.57,2.6,2.57,0.03,1.1673,23207.0,6030.412
600387.SH,20240909,2.59,2.63,2.57,2.57,2.63,-0.06,-2.2814,25692.0,6650.468
600387.SH,20240906,2.57,2.63,2.57,2.63,2.59,0.04,1.5444,27946.0,7269.946
600387.SH,20240905,2.53,2.64,2.51,2.59,2.57,0.02,0.7782,44785.0,11502.378
600387.SH,20240904,2.65,2.68,2.57,2.57,2.7,-0.13,-4.8148,63849.0,16548.015
600387.SH,20240903,2.61,2.71,2.6,2.7,2.62,0.08,3.0534,60258.64,15970.629
600387.SH,20240902,2.59,2.68,2.58,2.62,2.6,0.02,0.7692,55833.51,14674.348
600387.SH,20240830,2.59,2.67,2.59,2.6,2.62,-0.02,-0.7634,79282.0,20839.365
600387.SH,20240829,2.6,2.68,2.6,2.62,2.74,-0.12,-4.3796,100273.51,26241.627
600387.SH,20240828,2.82,2.91,2.72,2.74,2.77,-0.03,-1.083,161499.51,45840.943
600387.SH,20240827,2.65,2.77,2.64,2.77,2.64,0.13,4.9242,68885.01,18917.815
600387.SH,20240826,2.5,2.64,2.5,2.64,2.51,0.13,5.1793,31686.0,8291.628
600387.SH,20240823,2.53,2.57,2.51,2.51,2.56,-0.05,-1.9531,15937.0,4044.16
600387.SH,20240822,2.62,2.62,2.53,2.56,2.59,-0.03,-1.1583,15887.3,4110.427
600387.SH,20240821,2.53,2.62,2.53,2.59,2.54,0.05,1.9685,22291.01,5766.011
600387.SH,20240820,2.58,2.58,2.53,2.54,2.57,-0.03,-1.1673,13550.0,3462.71
600387.SH,20240819,2.53,2.59,2.53,2.57,2.54,0.03,1.1811,16599.0,4269.004
600387.SH,20240816,2.57,2.6,2.52,2.54,2.58,-0.04,-1.5504,13215.42,3368.424
600387.SH,20240815,2.6,2.62,2.57,2.58,2.61,-0.03,-1.1494,17809.0,4611.154
600387.SH,20240814,2.66,2.66,2.55,2.61,2.6,0.01,0.3846,14415.0,3763.353
600387.SH,20240813,2.59,2.63,2.56,2.6,2.56,0.04,1.5625,15121.01,3916.4
600387.SH,20240812,2.61,2.62,2.53,2.56,2.6,-0.04,-1.5385,25485.0,6562.466
600387.SH,20240809,2.66,2.68,2.6,2.6,2.66,-0.06,-2.2556,26227.0,6946.402
600387.SH,20240808,2.62,2.67,2.6,2.66,2.63,0.03,1.1407,25253.01,6687.855
600387.SH,20240807,2.65,2.69,2.62,2.63,2.65,-0.02,-0.7547,21446.0,5687.619
600387.SH,20240806,2.59,2.66,2.57,2.65,2.59,0.06,2.3166,30914.21,8094.073
600387.SH,20240805,2.69,2.72,2.57,2.59,2.71,-0.12,-4.428,28770.42,7633.179
600387.SH,20240802,2.77,2.77,2.71,2.71,2.77,-0.06,-2.1661,19938.0,5460.806
600387.SH,20240801,2.74,2.8,2.72,2.77,2.73,0.04,1.4652,36978.5,10211.725
600387.SH,20240731,2.7,2.74,2.67,2.73,2.71,0.02,0.738,23950.1,6507.409
600387.SH,20240730,2.71,2.74,2.67,2.71,2.7,0.01,0.3704,18659.0,5041.437
600387.SH,20240729,2.68,2.78,2.67,2.7,2.7,0.0,0.0,20743.0,5665.073
600387.SH,20240726,2.64,2.76,2.6,2.7,2.64,0.06,2.2727,29476.01,7888.332
600387.SH,20240725,2.6,2.64,2.56,2.64,2.61,0.03,1.1494,28393.62,7425.526
600387.SH,20240724,2.66,2.74,2.57,2.61,2.71,-0.1,-3.69,56932.0,14918.748
600387.SH,20240723,2.8,2.87,2.7,2.71,2.79,-0.08,-2.8674,64349.07,17936.785
600387.SH,20240722,2.69,2.84,2.69,2.79,2.72,0.07,2.5735,50585.07,14055.514
600387.SH,20240719,2.64,2.74,2.58,2.72,2.66,0.06,2.2556,52144.0,13873.206
600387.SH,20240718,2.59,2.68,2.52,2.66,2.55,0.11,4.3137,68604.6,17987.188
600387.SH,20240717,2.66,2.72,2.53,2.55,2.66,-0.11,-4.1353,48990.0,12718.649
600387.SH,20240716,2.62,2.69,2.62,2.66,2.63,0.03,1.1407,30655.0,8172.005
600387.SH,20240715,2.61,2.69,2.58,2.63,2.6,0.03,1.1538,39021.35,10286.931
600387.SH,20240712,2.54,2.63,2.54,2.6,2.5,0.1,4.0,54073.0,13989.96
600387.SH,20240711,2.43,2.5,2.41,2.5,2.38,0.12,5.042,57639.35,14225.716
600387.SH,20240710,2.42,2.48,2.36,2.38,2.43,-0.05,-2.0576,48066.0,11648.333
600387.SH,20240709,2.45,2.54,2.38,2.43,2.48,-0.05,-2.0161,59712.0,14657.151
600387.SH,20240708,2.57,2.66,2.47,2.48,2.57,-0.09,-3.5019,64530.0,16552.235
600387.SH,20240705,2.46,2.57,2.45,2.57,2.45,0.12,4.898,66982.0,17115.207
600387.SH,20240704,2.46,2.52,2.42,2.45,2.48,-0.03,-1.2097,67011.0,16593.707
600387.SH,20240703,2.38,2.49,2.34,2.48,2.37,0.11,4.6414,88524.62,21501.986
600387.SH,20240702,2.23,2.4,2.22,2.37,2.29,0.08,3.4934,108429.52,24873.579
600387.SH,20240701,2.29,2.29,2.29,2.29,2.41,-0.12,-4.9793,6258.0,1433.082
600387.SH,20240628,2.47,2.56,2.4,2.41,2.53,-0.12,-4.7431,72248.28,17853.85
600387.SH,20240627,2.49,2.58,2.46,2.53,2.47,0.06,2.4291,55548.0,14146.137
600387.SH,20240626,2.43,2.48,2.4,2.47,2.42,0.05,2.0661,36304.2,8887.671
600387.SH,20240625,2.33,2.47,2.33,2.42,2.45,-0.03,-1.2245,78788.15,18844.595
600387.SH,20240624,2.54,2.54,2.45,2.45,2.58,-0.13,-5.0388,38667.0,9574.631
600387.SH,20240621,2.58,2.66,2.53,2.58,2.58,0.0,0.0,61212.0,15899.602
600387.SH,20240620,2.67,2.71,2.56,2.58,2.67,-0.09,-3.3708,72975.02,19119.992
600387.SH,20240619,2.65,2.74,2.61,2.67,2.61,0.06,2.2989,110376.6,29599.649
600387.SH,20240618,2.48,2.61,2.47,2.61,2.49,0.12,4.8193,67949.0,17490.424
600387.SH,20240617,2.43,2.56,2.43,2.49,2.49,0.0,0.0,70031.0,17493.087
600387.SH,20240614,2.5,2.58,2.46,2.49,2.52,-0.03,-1.1905,66463.01,16722.737
600387.SH,20240613,2.49,2.56,2.41,2.52,2.44,0.08,3.2787,168462.42,42342.41
600387.SH,20240612,2.32,2.44,2.29,2.44,2.32,0.12,5.1724,117351.0,28002.289
600387.SH,20240611,2.18,2.32,2.17,2.32,2.21,0.11,4.9774,125604.01,28797.698
600387.SH,20240607,2.23,2.27,2.15,2.21,2.16,0.05,2.3148,113497.01,25098.717
600387.SH,20240606,2.24,2.27,2.15,2.16,2.26,-0.1,-4.4248,117974.73,25629.771
600387.SH,20240605,2.2,2.37,2.17,2.26,2.28,-0.02,-0.8772,141956.06,32040.22
600387.SH,20240604,2.3,2.33,2.28,2.28,2.4,-0.12,-5.0,122558.75,27990.108
600387.SH,20240603,2.48,2.5,2.4,2.4,2.53,-0.13,-5.1383,81856.0,19852.469
600387.SH,20240531,2.43,2.57,2.41,2.53,2.45,0.08,3.2653,143630.51,36388.087
600387.SH,20240530,2.58,2.58,2.45,2.45,2.58,-0.13,-5.0388,171405.92,42477.022
600387.SH,20240529,2.67,2.69,2.57,2.58,2.71,-0.13,-4.797,145201.3,37762.644
600387.SH,20240528,2.82,2.83,2.71,2.71,2.85,-0.14,-4.9123,100795.21,27648.837
600387.SH,20240527,3.0,3.0,2.82,2.85,2.97,-0.12,-4.0404,115212.49,33216.764
600387.SH,20240524,2.83,2.97,2.82,2.97,2.83,0.14,4.947,109748.67,31765.234
600387.SH,20240523,2.84,2.87,2.77,2.83,2.9,-0.07,-2.4138,100295.49,28254.434
600387.SH,20240522,2.85,2.93,2.74,2.9,2.84,0.06,2.1127,145404.19,40962.897
600387.SH,20240521,2.96,3.03,2.81,2.84,2.95,-0.11,-3.7288,134660.16,39318.704
600387.SH,20240520,3.09,3.12,2.94,2.95,3.09,-0.14,-4.5307,149823.27,44918.013
600387.SH,20240517,3.13,3.14,3.04,3.09,3.13,-0.04,-1.278,81197.87,25043.258
600387.SH,20240516,3.12,3.19,3.1,3.13,3.12,0.01,0.3205,98648.0,30914.941
600387.SH,20240515,3.1,3.16,3.05,3.12,3.07,0.05,1.6287,115925.67,36083.064
600387.SH,20240514,2.89,3.08,2.89,3.07,2.93,0.14,4.7782,135149.28,40572.53
600387.SH,20240513,2.93,2.93,2.93,2.93,3.08,-0.15,-4.8701,23276.0,6819.868
600387.SH,20240510,3.24,3.25,3.08,3.08,3.24,-0.16,-4.9383,143630.0,44743.505
600387.SH,20240509,3.24,3.28,3.22,3.24,3.24,0.0,0.0,113886.0,36992.983
600387.SH,20240508,3.25,3.3,3.22,3.24,3.26,-0.02,-0.6135,111797.6,36405.781
600387.SH,20240507,3.25,3.33,3.24,3.26,3.28,-0.02,-0.6098,162003.54,53048.403
600387.SH,20240506,3.2,3.3,3.14,3.28,3.3,-0.02,-0.6061,264544.36,84292.794
600387.SH,20240430,3.3,3.42,3.26,3.3,3.34,-0.04,-1.1976,195830.66,65330.435
600387.SH,20240429,3.21,3.37,3.14,3.34,3.3,0.04,1.2121,293581.04,95094.993
600387.SH,20240426,3.39,3.42,3.3,3.3,3.47,-0.17,-4.8991,322273.2,107185.23
600387.SH,20240425,3.47,3.5,3.47,3.47,3.65,-0.18,-4.9315,281181.6,97582.838
600387.SH,20240424,3.65,3.65,3.65,3.65,3.84,-0.19,-4.9479,741.0,270.465
600387.SH,20240423,3.84,3.84,3.84,3.84,4.04,-0.2,-4.9505,1441.0,553.344
600387.SH,20240419,4.05,4.09,4.04,4.04,4.25,-0.21,-4.9412,68875.0,27862.241
600387.SH,20240418,4.4,4.52,4.25,4.25,4.47,-0.22,-4.9217,126185.0,54254.863
600387.SH,20240417,4.47,4.62,4.47,4.47,4.7,-0.23,-4.8936,161921.41,72684.229
600387.SH,20240416,4.7,4.7,4.7,4.7,4.95,-0.25,-5.0505,8046.0,3781.62
600387.SH,20240415,5.03,5.05,4.95,4.95,5.21,-0.26,-4.9904,18933.0,9411.527
600387.SH,20240412,5.19,5.27,5.01,5.21,5.21,0.0,0.0,50742.95,26003.14
600387.SH,20240411,5.43,5.5,5.21,5.21,5.48,-0.27,-4.927,67995.0,36058.722
600387.SH,20240410,5.48,5.55,5.46,5.48,5.5,-0.02,-0.3636,41798.44,23016.724
600387.SH,20240409,5.71,5.84,5.44,5.5,5.73,-0.23,-4.014,92288.14,50775.964
600387.SH,20240408,6.02,6.02,5.73,5.73,6.03,-0.3,-4.9751,36951.0,21354.382
600387.SH,20240403,6.01,6.08,6.01,6.03,6.01,0.02,0.3328,13136.5,7929.347
600387.SH,20240402,5.9,6.06,5.9,6.01,5.93,0.08,1.3491,30722.5,18468.222
600387.SH,20240401,5.84,5.95,5.79,5.93,5.84,0.09,1.5411,28104.0,16565.011
600387.SH,20240329,5.69,5.87,5.65,5.84,5.67,0.17,2.9982,29898.89,17315.537
600387.SH,20240328,5.5,5.75,5.46,5.67,5.5,0.17,3.0909,32508.14,18290.251
600387.SH,20240327,5.52,5.57,5.43,5.5,5.52,-0.02,-0.3623,33492.59,18447.6
600387.SH,20240326,5.55,5.64,5.43,5.52,5.64,-0.12,-2.1277,62027.57,34257.741
600387.SH,20240325,5.64,5.64,5.64,5.64,5.94,-0.3,-5.0505,13392.0,7553.088
600387.SH,20240322,5.88,5.94,5.82,5.94,5.87,0.07,1.1925,37293.35,21901.914
600387.SH,20240321,5.8,5.92,5.8,5.87,5.84,0.03,0.5137,30763.3,18084.727
600387.SH,20240320,5.9,5.98,5.77,5.84,5.92,-0.08,-1.3514,49047.35,28745.439
600387.SH,20240319,5.78,6.03,5.78,5.92,5.76,0.16,2.7778,56405.26,33416.483
600387.SH,20240318,5.68,5.82,5.68,5.76,5.7,0.06,1.0526,32927.0,19016.562
600387.SH,20240315,5.6,5.7,5.54,5.7,5.58,0.12,2.1505,34685.01,19541.21
600387.SH,20240314,5.54,5.63,5.53,5.58,5.54,0.04,0.722,26207.0,14634.494
600387.SH,20240313,5.49,5.6,5.44,5.54,5.52,0.02,0.3623,32105.05,17784.081
600387.SH,20240312,5.5,5.56,5.41,5.52,5.53,-0.01,-0.1808,34972.01,19238.681
600387.SH,20240311,5.35,5.61,5.32,5.53,5.34,0.19,3.5581,50572.29,27997.248
600387.SH,20240308,5.28,5.39,5.28,5.34,5.31,0.03,0.565,31275.0,16726.503
600387.SH,20240307,5.27,5.37,5.23,5.31,5.31,0.0,0.0,38924.0,20669.775
600387.SH,20240306,5.2,5.4,5.2,5.31,5.24,0.07,1.3359,46166.0,24553.158
600387.SH,20240305,5.16,5.37,5.02,5.24,5.11,0.13,2.544,79420.65,41575.832
600387.SH,20240304,4.86,5.11,4.78,5.11,4.87,0.24,4.9281,57682.0,28730.522
600387.SH,20240301,4.89,4.92,4.81,4.87,4.9,-0.03,-0.6122,41944.3,20362.801
600387.SH,20240229,4.8,4.93,4.78,4.9,4.85,0.05,1.0309,47098.27,22950.381
600387.SH,20240228,5.1,5.16,4.85,4.85,5.11,-0.26,-5.0881,65966.04,33079.603
600387.SH,20240227,5.02,5.15,4.99,5.11,5.04,0.07,1.3889,37559.01,19012.154
600387.SH,20240226,5.1,5.12,4.98,5.04,5.09,-0.05,-0.9823,51302.01,25839.05
600387.SH,20240223,4.94,5.1,4.93,5.09,4.97,0.12,2.4145,29385.01,14767.887
600387.SH,20240222,4.9,5.0,4.87,4.97,4.95,0.02,0.404,26672.0,13205.322
600387.SH,20240221,4.94,5.06,4.88,4.95,4.91,0.04,0.8147,37557.0,18798.639
600387.SH,20240220,4.78,4.97,4.68,4.91,4.8,0.11,2.2917,35455.36,17166.634
600387.SH,20240219,4.73,4.9,4.65,4.8,4.73,0.07,1.4799,42596.44,20267.539
600387.SH,20240208,4.43,4.74,4.33,4.73,4.51,0.22,4.878,48499.08,22017.802
600387.SH,20240207,4.65,4.79,4.5,4.51,4.62,-0.11,-2.381,50866.3,23501.592
600387.SH,20240206,4.62,4.75,4.62,4.62,4.86,-0.24,-4.9383,56208.0,26042.382
600387.SH,20240205,4.95,4.96,4.86,4.86,5.12,-0.26,-5.0781,15512.0,7566.507
600387.SH,20240202,5.25,5.6,5.12,5.12,5.39,-0.27,-5.0093,80480.0,42531.332
600387.SH,20240201,5.39,5.39,5.39,5.39,5.67,-0.28,-4.9383,9580.0,5163.62
600387.SH,20240131,5.67,5.67,5.67,5.67,5.97,-0.3,-5.0251,14124.0,8008.308
600387.SH,20240130,6.15,6.15,5.95,5.97,6.1,-0.13,-2.1311,24562.0,14829.218
600387.SH,20240129,6.26,6.26,6.1,6.1,6.2,-0.1,-1.6129,23863.93,14725.962
600387.SH,20240126,6.25,6.32,6.2,6.2,6.26,-0.06,-0.9585,22082.41,13818.39
600387.SH,20240125,6.16,6.29,6.13,6.26,6.16,0.1,1.6234,25975.0,16194.55
600387.SH,20240124,6.15,6.17,6.04,6.16,6.12,0.04,0.6536,23054.0,14089.781
600387.SH,20240123,6.0,6.13,5.94,6.12,5.97,0.15,2.5126,26726.38,16154.268
600387.SH,20240122,6.18,6.23,5.96,5.97,6.2,-0.23,-3.7097,42506.0,25766.268
600387.SH,20240119,6.26,6.29,6.15,6.2,6.27,-0.07,-1.1164,25917.01,16106.475
